a|يك(0.5)
appear|ظاهر شدن(0.75),پديدار شدن(0.25),طلوع كردن(0.25),خاستن(0.25),سر زدن(0.25),طالع شدن(0.25)
appearance|ظاهر(0.75),نمايش(0.75),منظر(0.25),ظهور(0.75),پيدايش(0.5),نمود(0.25),سيما(0.25),ظواهر(0.25),فرم(0.25)
appears|به نظر مي رسد(0.75),ظاهر شدن(0.75),پديدار شدن(0.25),طلوع كردن(0.25),خاستن(0.25),سر زدن(0.25),طالع شدن(0.25)
appendix|پيوست(0.75),ضميمه(0.75),ذيل(0.5),دنباله(0.5),اويزه(0.25),زائده كوچك(0.25),قولون(0.25),زائده اپانديس(0.25),زائده(0.25)
applicable|مناسب(0.5),قابل اطلاق(0.5),كاربستپذير(0.25),قابل اجرا(0.25),اجرا شدني(0.25),خوش ايند(0.25),خوب(0.25)
applicant|متقاضي(0.75),تقاضا كننده(0.25),طالب(0.25),داوطلب(0.5),درخواستگر(0.5)
application|كاربرد(0.75),درخواست(0.75),استفاده(0.75),استعمال(0.5),ضميمه(0.25),درخواست نامه(0.25),ممارست(0.25)
applies|اعمال(0.75),اعمال كردن(0.5),بكار بردن(0.5),مورد استفاده قرار گرفته(0.25),بكار بستن(0.25),درخواست دادن(0.25),بكار زدن(0.25),استعمال كردن(0.25),اجرا كردن(0.25),متصل كردن(0.25),بهم بستن(0.25),درخواست كردن(0.25),شامل شدن(0.25),قابل اجرا بودن(0.25)
apply|درخواست(0.75),اعمال كردن(0.5),بكار بردن(0.5),مورد استفاده قرار گرفته(0.25),بكار بستن(0.25),درخواست دادن(0.25),بكار زدن(0.25),استعمال كردن(0.25),اجرا كردن(0.25),متصل كردن(0.25),بهم بستن(0.25),درخواست كردن(0.25),شامل شدن(0.25),قابل اجرا بودن(0.25)
appoint|منصوب كردن(0.5),معين كردن(0.25),تعيين كردن(0.25),برقرار كردن(0.25),گماشتن(0.25),واداشتن(0.25),مقرر داشتن(0.25)
appointment|انتصاب(0.75),قرار ملاقات(0.75),وعده ملاقات(0.5),گماشت(0.5),وقت تعيين شده(0.25),كار(0.25),منصب(0.25)
appreciate|قدرداني(0.75)
approach|روش(0.75),نزديك شدن(0.5),نزديك امدن(0.25)
approaching|نزديك شدن(0.75)
appropriate|مناسب(0.75),مقتضي(0.5),باب(0.25),در خور(0.25),اختصاص دادن(0.25),براي خود برداشتن(0.25),منظوركردن(0.25)
appropriation|تخصيص(0.75)
approval|تصويب(0.75),تجويز(0.25),ستايش(0.25),رخصت(0.25),طرفداري(0.25)
approve|تاييد(0.75)
approximate|تقريبي(0.75),تقريب زدن(0.5),نزديك كردن(0.25),نزديك امدن(0.25)
april|اوريل(0.75)
aptitude|استعداد(0.75),شايستگي(0.5),لياقت(0.5),گنجايش(0.5),تمايل طبيعي(0.5),ميل ذاتي(0.5)
aqueous|ابي(0.75)
arab|عرب(0.75)
arabia|عربستان(0.75)
arbitrarily|دلخواهانه(0.5),مستبدانه(0.5),بطور قراردادي(0.25)
arbitration|داوري(0.75),حكميت(0.5),نتيجه حكميت(0.25),راي بطريق حكميت(0.25)
arc|قوس(0.75),كمان(0.75),جرقه(0.5),هلال(0.5),خرپشته(0.25),خم(0.25)
arcade|گذرگاه طاقدار(0.5),طاقهاي پشت سرهم(0.25)
archaeological|باستان شناسي(0.75)
architect|معمار(0.75),طراح(0.5),مهراز(0.25),معماري كردن(0.25)
architecture|معماري(0.75),فن معماري(0.25),سبك معماري(0.25),مهرازي(0.25)
arduous|دشوار(0.75),پر زحمت(0.5),سخت(0.75),صعب الصعود(0.5)
area|منطقه(0.75),مساحت(0.75),ناحيه(0.5),سطح(0.5),حوزه(0.5),فضا(0.25),پهنه(0.25),طرف(0.25)
aren|aren(0.75)
argot|گويش عاميانه(0.75),زبان ويژه دزدان(0.75),لهجه ولگردان(0.75)
argue|استدلال(0.75)
argument|استدلال(0.75),برهان(0.75),نشانوند(0.5),مباحثه(0.5),مناظره(0.25),مشاجره(0.5),بحي(0.25),اثبات(0.25),يك سلسله دلايل قابل قبول(0.25)
arise|بوجود مي ايند(0.75)
arising|ناشي(0.75)
arithmetic|حسابي(0.75),علم حساب(0.5),حساب(0.75),حسابگر(0.5),سياق(0.25),حساب دان(0.25)
arizona|اريزونا(0.75)
arm|دست(0.75),بازو(0.75),سلاح(0.5),اسلحه(0.5),جنگ افزار(0.25),شاخه(0.5),قسمت(0.25),شعبه(0.25),دسته صندلي يا مبل(0.25),مسلح كردن(0.5),مجهز كردن(0.25)
army|ارتش(0.75),سپاه(0.5),لشكر(0.5),گروه(0.25),دسته(0.25),جمعيت(0.25),صف(0.25)
aromatherapy|اروماتراپي(0.75)
around|در اطراف(0.75),در نزديكي(0.25),دور(0.5),پيرامون(0.5),در حوالي(0.5),سوي ديگر(0.25),گرداگرد(0.25),در هر سو(0.25)
arraign|احضار نمودن(0.75)
arrange|مرتب كردن(0.5),ترتيب دادن(0.5),اراستن(0.25),چيدن(0.25),قرار گذاشتن(0.25),سازمند كردن(0.25),منظم كردن(0.25),طبقه بندي كردن(0.25),طبقهبندييا جور كردن(0.25)
arrangement|تنظيم(0.75),ترتيب(0.75),نظم(0.5),مقدمات(0.5),قرار(0.5),تمهيد(0.25),تصفيه(0.25),ارايش(0.25),طبقه بندي(0.25),چيدن نان و شراب عشاي رباني روي ميز(0.25)
arrest|بازداشت(0.75),توقيف(0.5),توقيف كردن(0.25),باز داشتن(0.25),محبوس كردن(0.25),حبس كردن(0.25),ناگهان توقيف كردن(0.25),جلو گيري كردن(0.25)
arrival|ورود(0.75),دخول(0.25),مقدم(0.25)
arrive|رسيدن(0.75),وارد شدن(0.25),در رسيدن(0.25)
arrives|مي رسد(0.75),رسيدن(0.75),وارد شدن(0.25),در رسيدن(0.25)
arrogance|تكبر(0.75),غرور(0.75),نخوت(0.75),شدت عمل(0.5),گستاخي(0.5),گردنفرازي(0.5),خود رايي(0.5),خود سري(0.5),خيره سري(0.5),عظمت(0.5),خود بيني(0.5),سر بالايي(0.5)
arrow|پيكان(0.75),سهم(0.5),تير(0.5),يكانداز(0.25),خدنگ(0.25)
art|هنر(0.75),فن(0.25),صنعت(0.25),استعداد(0.25),استادي(0.25),نيرنگ(0.25)
article|ماده(0.75),فقره(0.25),مقاله(0.75),بند(0.5),كالا(0.25),متاع(0.25),چيز(0.25),اسباب(0.25),فصل(0.25),شرط(0.25),گفتار(0.25),حرف تعريف(0.25),عمل(0.25),بصورت مواد در اوردن(0.25),تفريح كردن(0.25)
articulating|بيان(0.75),شمرده سخن گفتن(0.5),مفصل دار كردن(0.5)
artisoft|artisoft(0.75)
artist|هنرمند(0.75),هنرپيشه(0.25),نقاش و هنرمند(0.25),مصور(0.25),صنعت گر(0.25),موسيقي دان(0.25)
artistic|هنرمندانه(0.5),باهنر(0.25),مانند هنرپيشه و هنرمند(0.25)
as|مانند(0.5),چنانكه(0.5),بطوريكه(0.25),بعنوان مثال(0.25),چون(0.5),چنانكه(0.5),چه(0.25),همچنانكه(0.25),هنگاميكه(0.25),نظر باينكه(0.25),در نتيجه(0.25)
asbestos|پنبه نسوز(0.75),پنبه كوهي(0.25),سنگ معدني داراي رشتههاي بلند(0.25)
ascariasis|اسكاريازيس(0.75)
asia|اسيا(0.75)
aside|كنار(0.75)
asiz|asiz(0.75)
ask|پرسيدن(0.5),جويا شدن(0.25),براي چيزي بي تاب شدن(0.25),طلبيدن(0.25),خواستن(0.25),دعوت كردن(0.25),پرسش كردن(0.25),طلب كردن(0.25),سوال كردن(0.25),خبر گرفتن(0.25),خواهش كردن(0.25)
aspect|منظر(0.5),نمود(0.5),سيما(0.25),صورت(0.25),وضع(0.25)
aspiration|تنفس(0.5),دم زني(0.25),استنشاق(0.25),اه(0.25),ارزو(0.25),شهيق(0.25)
ass|الاغ(0.75),خر(0.5),ستيزه جو(0.25),ستيز گر(0.25)
assassination|ترور(0.75),قتل(0.75)
assault|حمله(0.75),يورش(0.75),تجاوز(0.75),حمله به مقدسات(0.25),اظهار عشق(0.25),تجاوز يا حمله كردن(0.25)
assembly|مجلس(0.75),اجتماع(0.5),انجمن(0.5),گروه(0.25),هيئت قانونگذاري(0.25),هم گذاري(0.25)
assen|اسن(0.75)
assert|ادعا(0.75),اثبات كردن(0.5),ادعا كردن(0.25),دفاع كردن از(0.25),حمايت كردن(0.25),ازاد كردن(0.25),اظهار قطعي كردن(0.25)
assertion|ادعا(0.75),اعلان(0.75),تاكيد(0.5),اثبات(0.5),اعلاميه(0.5),بيانيه(0.5),اظهارنامه(0.5),مدعي(0.5),تاييد ادعا(0.25),اگهي(0.25),اخبار(0.25)
assess|ارزيابي(0.75)
assessing|ارزيابي(0.75)
assessment|ارزيابي(0.75),تخمين(0.25),تشخيص(0.5),تعيين ماليات(0.25),وضع ماليات(0.25),تقويم(0.25),براورد(0.25),اظهارنظر(0.25)
asset|دارايي(0.75),چيز با ارزش و مفيد(0.25),ممر عايدي(0.25),خواست(0.25)
assimilate|در بدن جذب كردن(0.5),همانند ساختن(0.5),يكسان كردن(0.5),هم جنس كردن(0.5),شبيه ساختن(0.5),تحليل رفتن(0.5),وفق دادن(0.5),تلفيق كردن(0.5)
assist|همكاري(0.5),كمك كردن(0.5),همدستي و ياري كردن(0.25),مساعدت كردن(0.25),دستگيري كردن(0.25),شركت جستن(0.25),توجه كردن(0.25),پيوستن به(0.25),حمايت كردن از(0.25),پايمردي كردن(0.25),دستياري كردن(0.25),حضور بهم رساندن(0.25),ياري كردن(0.25),معاونت كردن(0.25)
assistance|كمك(0.75),دستياري(0.25),پايمردي(0.25),رسيدگي(0.25),مساعدت(0.75),معاونت(0.5),معاضدت(0.5),همدستي(0.25),مدد(0.25),مراعات(0.25)
assistant|معاون(0.75),دستيار(0.75),ياور(0.25),بردست(0.25),كمك(0.5),نايب(0.5),ترقي دهنده(0.25),معين(0.25),رهبريار(0.25),حاضر(0.25)
associate|وابسته(0.75),همبسته(0.5),هم پيوند(0.5),دانشبهري(0.25),شريك(0.75),همسر(0.25),عضو پيوسته(0.5),معاون(0.25),رفيق(0.25),هم دست(0.25),هم قطار(0.25),شريك كردن(0.5)
association|انجمن(0.75),تجمع(0.5),وابستگي(0.5),پيوستگي(0.25),مشاركت(0.5),شركت(0.25),اتحاد(0.25),تداعي معاني(0.25),اميزش(0.25),ائتلاف(0.25)
assume|گرفتن(0.5),بخود گرفتن(0.25),فرض كردن(0.25),انگاشتن(0.25),پنداشتن(0.25),بخود بستن(0.25),وانمود كردن(0.25),تظاهر كردن(0.25),تقليد كردن(0.25),بعهده گرفتن(0.25),تقبل كردن(0.25)
assumption|فرض(0.75),گمان(0.5),پنداشت(0.5),تعهد(0.25),غرور(0.25),اتخاذ(0.25),قصد(0.25),انگاشت(0.25),خود رايي(0.25),خود سري(0.25),خود بيني(0.25)
assurance|تضمين(0.75),ضمانت(0.75),تعهد(0.5),اطمينان(0.75),بيمه(0.5),خاطرجمعي(0.25),گستاخي(0.25),قيد(0.25),گرفتاري(0.25),وثيقه(0.25),گروي(0.25),پشت گرمي(0.25),خود رايي(0.25),خود سري(0.25),دل گرمي(0.25)
assure|اطمينان(0.75),اطمينان دادن(0.5),بيمه كردن(0.25),مجاب كردن(0.25),راضي كردن(0.25),خاطر جمع كردن(0.25)
astound|مبهوت كردن(0.75)
asylum|پناه(0.5),تيمارستان(0.5),گريزگاه(0.25),نوانخانه(0.25),بستگاه(0.25),پناه گاه(0.25),خسته خانه(0.25)
at|در(0.75),به(0.5),بسوي(0.25),بطرف(0.25),پهلوي(0.25),نزديك(0.25),بنا بر(0.25),در نتيجه(0.25),بر حسب(0.25),از قرار(0.25),بقرار(0.25),بر(0.25),سر(0.25),ات(0.25)
ate|خوردند(0.75)
atlantic|اطلس(0.75)
atmosphere|جو(0.75),پناد(0.25),كره هوا(0.25),واحد فشار هوا(0.25),فضاي اطراف هر جسمي(0.25)
attach|ضميمه كردن(0.5),پيوست كردن(0.5),چسباندن(0.5),پيوستن(0.5),الصاق كردن(0.25),بستن(0.25),نسبت دادن(0.25),گذاشتن(0.25),ضبط كردن(0.25),دلبسته شدن(0.25)
attack|حمله(0.75),يورش(0.5),تكش(0.25),تاخت(0.25),تاخت و تاز(0.25),اصابت يا نزول ناخوشي(0.25),تجاوز(0.25),تعرض(0.25),حمله كردن بر(0.25),مبادرت كردن به(0.25),تاخت كردن(0.25),مورد حمله قرار دادن(0.25),حمله كردن(0.25),تعرض كردن(0.25)
attain|رسيدن(0.75),دست يافتن(0.5),رسيدن به(0.75),نائل شدن(0.5),تمام كردن(0.25),بدست اوردن(0.25),زدن(0.25)
attempt|قصد(0.75),كوشش(0.5),كوشش كردن(0.25),قصد كردن(0.25),مبادرت كردن به(0.25),تقلا كردن(0.25),جستجو كردن(0.25)
attempting|تلاش(0.75)
attend|حضور(0.75)
attention|توجه(0.75),دقت(0.5),مراقبت(0.5),رسيدگي(0.25),حواس(0.25),ادب و نزاكت(0.25),خبردار(0.25),حاضرباش(0.25)
attitude|گرايش(0.5),طرز برخورد(0.5),حالت(0.25),هيئت(0.25),روش و رفتار(0.25)
attorneys|وكلاي(0.75)
attract|جذب(0.75)
attraction|جاذبه(0.75),جذب(0.75),جلب(0.5),كشش(0.5),كشندگي(0.25)
attribute|صفت(0.75),جنبه(0.25),نشان(0.25),شهرت(0.25),افتخار(0.25),نسبت دادن(0.5),حمل كردن(0.25)
au|طلا(0.75)
aubagne|aubagne(0.75)
audience|حضار(0.5),بار(0.25),ملاقات رسمي(0.25),مستمعين(0.25),شنودگان(0.25)
audition|استماع(0.75),شنوايي(0.75),قدرت استماع(0.5),ازمايش هنرپيشه(0.5)
aug|اوت(0.75)
august|اوت(0.75),همايون(0.5),عالي نسب(0.5)
aura|رايحه(0.5),تشعشع نوراني(0.5),نشيه و تجلي ر ماده(0.25)
austere|تند و تلخ(0.75),سخت(0.75),تيره رنگ(0.5),رياضت كش(0.5)
australian|استراليا(0.75)
author|نويسنده(0.75),مولف(0.5),باني(0.25),سازنده(0.25),مصنف(0.25),نويسندگي كردن(0.25),تاليف و تصنيف كردن(0.25)
authorise|اجازه دادن(0.5),اختيار دادن(0.5),ترخيص كردن(0.5),تصويب كردن(0.5)
authority|قدرت(0.75),اختيار(0.5),اعتبار(0.5),اجازه(0.5),متخصص(0.25),توانايي(0.25),نفوذ(0.25),نويسنده معتبر(0.25),اوليا امور(0.25),تسلط(0.25),تصدي(0.25),خوشنامي(0.25)
authorize|اجازه دادن(0.5),اختيار دادن(0.5),ترخيص كردن(0.5),تصويب كردن(0.5)
autobiography|خود زندگي نامه(0.5),خودزيستنامه(0.5),نگارش شرح زندگي شخصي بوسيله خود او(0.5)
automate|به طور خودكار(0.75)
autonomous|مستقل(0.75),خود مختار(0.75),خودگردان(0.5),داراي حكومت مستقل(0.25),داراي زندگي مستقل(0.25),خودكاربطور غير ارادي(0.25)
autonomy|خودمختاري(0.75),استقلال داخلي(0.5),خودگراني(0.25)
availability|دسترسي(0.75),شخص مفيد(0.25),دسترس پذيري(0.5),فراهمي(0.5),قابليت استفاده(0.25),چيز مفيد و سودمند(0.25)
available|در دسترس(0.75),موجود(0.75),قابل استفاده(0.5),دسترس پذير(0.25),سودمند(0.25),مفيد(0.25)
average|متوسط(0.75),مياني(0.25),حد وسط(0.25),ميانگين(0.75),درجه عادي(0.25),حد وسط پيدا كردن(0.25),ميانه قرار دادن(0.25),ميانگين گرفتن(0.25),بالغ شدن(0.25)
avian|مرغي(0.75),وابسته به مرغان(0.25)
aviation|هوانوردي(0.75),هواپيمايي(0.75)
avoid|جلوگيري از(0.75)
avoidable|اجتناب پذير(0.5)
await|در انتظار(0.75)
award|جايزه(0.75),انعام(0.25),راي(0.25),اجر(0.25),مژدگاني(0.25),اعطا كردن(0.25),سپردن(0.25),امانت گذاردن(0.25)
away|دور(0.75),دور از(0.5),بيرون(0.5),بيك طرف(0.25),بيرون از(0.25),در سفر(0.25),بطور پيوسته(0.25),از انجا(0.25),از ان زمان(0.25),پس از ان(0.25),بعد(0.25),كنار(0.5)
awe|هيبت(0.75),بيم(0.5),ترس(0.75),خوف(0.5),وحشت(0.5),ترساندن(0.5),هيبت دادن(0.5)
b|ب(0.75)
baby|كودك(0.75),بچه(0.75),طفل(0.5),نوزاد(0.75),شخص ساده و معصوم(0.25),بچه كوچك(0.25),نوازش كردن(0.25)
bach|مجرد و عزب زندگي كردن(0.75)
back|عقب(0.75),به عقب(0.75),پس(0.5),دور از(0.25),در عقب(0.25),از عقب(0.25),عقب(0.75),پشت(0.75),پشتي(0.5),پشتي كنندگان(0.25),جبران(0.25),پشت(0.75)
backache|پشت درد(0.75)
background|سابقه(0.75),زمينه(0.75),نهانگاه(0.25),ريشه(0.25)
backward|وارونه(0.5),به پشت(0.25),از پشت(0.25),سابقه(0.25),كودن(0.25)
backwards|به عقب(0.75),وارونه(0.5),به پشت(0.5),از پشت(0.25)
bad|بد(0.75),خراب(0.5),مضر(0.5),زشت(0.25),نامساعد(0.25),شرير(0.25),بدكار(0.25),لاوصول(0.25),مهمل(0.25),شوم(0.25),فاسد(0.25),بد اخلاق(0.25)
badly|بد(0.75),بطور بد(0.25),بطور ناشايسته(0.25)
bag|كيسه(0.75),چنته(0.25),كيف(0.75),ساك(0.5),جوال(0.25),خورجين(0.25),باد كردن(0.25),ربودن(0.25),طلب كردن(0.25)
baghdad|بغداد(0.75)
bailey|ديوار با حياط خارجي قلعه ملوك الطوايفي(0.75)
balance|تعادل(0.75),توازن(0.75),ترازو(0.75),موازنه(0.75),تراز(0.5),ميزان(0.5),تتمه حساب(0.25),متعادل كردن(0.5),برابر كردن(0.25),موازنه كردن(0.25)
balanced|متعادل(0.75)
bald|طاس(0.75),عريان(0.75),كچل(0.5),بي مو(0.5),برهنه(0.5),بي لطف(0.5),بي ملاحت(0.5),كل(0.25)
balkan|بالكان(0.75)
ball|توپ(0.75),بال(0.75),گلوله(0.25),گوي(0.25),توپ بازي(0.25),مجلس رقص(0.25),رقص(0.25),ايام خوش(0.25),گرهك(0.25),خوشي(0.25),رقصيدن(0.25),گلوله كردن(0.25)
